,index,count,mean,std,min,25%,50%,75%,max,range
0,rank,1078.0,10.32,5.68,1.0,5.0,10.0,15.0,20.0,19.0
1,games,1078.0,37.08,2.0,27.0,38.0,38.0,38.0,38.0,11.0
2,wins,1078.0,13.87,5.86,2.0,10.0,12.0,17.0,33.0,31.0
3,draws,1078.0,9.34,2.99,2.0,7.0,9.0,11.0,19.0,17.0
4,losses,1078.0,13.87,5.36,0.0,10.0,14.0,18.0,29.0,29.0
5,goals_for,1078.0,50.61,16.77,20.0,39.0,47.0,59.0,121.0,101.0
6,goals_against,1078.0,50.61,12.68,17.0,42.0,51.0,58.75,94.0,77.0
7,goal_diff,1078.0,0.0,25.63,-61.0,-17.0,-5.0,13.75,89.0,150.0
8,points,1078.0,50.91,16.71,13.0,40.0,47.0,61.0,102.0,89.0
9,players_used,1078.0,27.87,3.28,19.0,25.0,28.0,30.0,42.0,23.0
10,assists,1078.0,33.52,12.73,10.0,25.0,31.0,39.0,91.0,81.0
11,pens_made,1078.0,4.31,2.5,0.0,3.0,4.0,6.0,15.0,15.0
12,pens_att,1078.0,5.55,2.9,0.0,3.0,5.0,7.0,20.0,20.0
13,cards_yellow,985.0,48.45,40.13,0.0,0.0,59.0,79.0,150.0,150.0
14,cards_red,985.0,2.73,2.7,0.0,0.0,2.0,4.0,12.0,12.0
15,shots_on_target_against,1078.0,160.69,31.49,71.0,139.0,162.0,180.75,271.0,200.0
16,saves,1078.0,112.13,22.68,45.0,97.0,111.0,126.0,199.0,154.0
17,clean_sheets,1078.0,10.27,3.89,2.0,8.0,10.0,13.0,24.0,22.0
18,shots_on_target,1078.0,164.91,40.26,77.0,137.0,157.0,186.0,318.0,241.0
19,games_starts,1078.0,407.82,21.96,297.0,418.0,418.0,418.0,419.0,122.0
20,games_complete,158.0,278.59,31.64,217.0,248.25,297.0,305.0,339.0,122.0
21,games_subs,1078.0,109.91,16.51,71.0,101.0,109.0,113.0,189.0,118.0
22,unused_subs,686.0,190.61,62.78,109.0,153.0,159.0,208.0,345.0,236.0
23,points_per_match,1078.0,1.37,0.44,0.42,1.08,1.26,1.63,2.68,2.26
